Employee_ID,Name,Age,Department,Salary,Joining_Date,Experience_Years,Performance_Rating,Location
E1052,Ryan Beard,53,Operations,113571,19/12/2016,26,Good,San Francisco
E1053,Sara Walton,41,HR,52075,22/09/2018,4,Poor,Los Angeles
E1054,Sonya Watson,51,Marketing,79787,28/02/2018,3,Poor,New York
E1055,Ashley Thomas,45,IT,60683,19/06/2024,30,Average,San Francisco
E1056,David Gomez,56,HR,117289,15/03/2018,34,Good,New York
E1057,Patricia Bradley,41,Finance,71509,06/08/2020,38,Good,San Francisco
E1058,Beverly Singh,33,IT,81384,24/12/2024,23,Average,New York
E1059,Robert Tucker,52,Finance,35920,12/04/2020,7,Excellent,Houston
E1060,Ann Bauer,57,HR,88811,31/08/2023,12,Excellent,San Francisco
E1061,Stacey Carney,26,Operations,78730,11/01/2017,24,Excellent,San Francisco
E1062,David Campbell,47,Operations,48636,29/08/2016,38,Excellent,Chicago
E1063,Susan Baxter,57,Sales,87288,28/04/2020,11,Good,San Francisco
E1064,Timothy Hall,41,Finance,69516,02/05/2018,34,Excellent,Houston
E1065,Morgan Sanders,49,Finance,95302,29/03/2018,3,Excellent,Houston
E1066,Douglas Mayer,32,Finance,59680,08/02/2020,29,Average,Los Angeles
E1067,Scott Gay,41,IT,81481,29/09/2015,1,Excellent,Los Angeles
E1068,Bradley Smith,50,HR,46734,30/10/2017,33,Poor,San Francisco
E1069,Matthew Jones,43,Sales,30504,06/10/2023,37,Good,New York
E1070,Robert Nichols,34,Sales,75220,21/02/2018,21,Good,New York
E1071,John Stewart,45,Operations,30036,23/06/2024,25,Excellent,San Francisco
E1072,Jason King,23,Finance,52801,24/12/2019,37,Excellent,New York
E1073,Thomas Ferguson,32,HR,77211,02/08/2023,27,Good,Houston
E1074,Mark White,28,Sales,48944,30/06/2015,2,Average,Los Angeles
E1075,Ernest Hall,44,Operations,50208,28/12/2019,5,Average,Los Angeles
E1076,Donald George,26,Finance,59738,14/02/2020,22,Poor,Los Angeles
E1077,Michael Fisher,22,Sales,79192,25/05/2017,30,Average,Chicago
E1078,Chloe Wood,55,Finance,81343,08/12/2018,29,Excellent,San Francisco
E1079,Matthew Flores,40,Sales,112969,30/05/2016,1,Excellent,Houston
E1080,Tyrone Washington,60,Finance,46182,24/07/2015,8,Good,Houston
E1081,Frank Jones,56,HR,103105,29/07/2021,4,Excellent,Chicago
E1082,Melissa Garcia,25,Finance,118844,07/06/2022,8,Average,New York
E1083,Adam Richardson DVM,58,IT,111887,31/07/2018,34,Excellent,San Francisco
E1084,Rachel Lyons,56,Sales,83805,06/11/2019,29,Poor,New York
E1085,Justin Haas,52,HR,54203,23/12/2023,28,Good,Houston
E1086,Jesus Morris,45,Marketing,81193,19/02/2020,33,Good,Houston
E1087,Jennifer Diaz,22,Operations,99464,23/02/2019,16,Poor,Los Angeles
E1088,Evelyn Giles,29,Operations,44688,15/02/2021,33,Good,Houston
E1089,Rebecca Stark,35,Finance,48895,13/03/2019,37,Good,New York
E1090,Christopher Dillon,45,HR,118757,20/04/2023,29,Excellent,Chicago
E1091,Heather Miller,60,Marketing,33668,01/09/2016,4,Poor,Houston
E1092,Lisa Porter,56,HR,71473,16/09/2022,38,Good,Houston
E1093,Carol Allison,27,Marketing,54773,10/04/2017,5,Excellent,San Francisco
E1094,Bryan Obrien,57,HR,33152,07/02/2016,33,Excellent,Houston
E1095,Matthew Mcdaniel,53,Operations,59572,18/07/2023,38,Excellent,New York
E1096,Patricia Alexander DDS,47,Finance,109340,08/10/2016,2,Average,Chicago
E1097,Andrew Orozco,54,HR,94354,19/05/2015,18,Excellent,Houston
E1098,Mrs. Andrea Castillo,23,Sales,98237,16/04/2015,5,Poor,Chicago
E1099,Yolanda Savage,57,Sales,53432,17/01/2025,28,Poor,Chicago
E1100,Angela Hernandez,45,Operations,94532,11/05/2016,14,Average,Houston
E1101,Maria Snyder,46,Marketing,36873,15/01/2021,32,Average,Houston
E1102,Justin Wolfe,39,Sales,92006,26/07/2015,31,Poor,Los Angeles
E1103,Justin Alvarado,58,Marketing,95912,03/08/2024,20,Average,Houston
E1104,Amber Davis,42,HR,50056,23/07/2022,27,Average,Houston
E1105,Erin Sanchez,36,Sales,105279,02/02/2016,2,Poor,New York
E1106,Kevin Evans,53,HR,73944,13/09/2016,3,Poor,San Francisco
E1107,Maria Olson,28,HR,105877,01/09/2018,26,Good,Houston
E1108,Matthew Mason,54,Sales,69017,25/01/2018,34,Poor,Chicago
E1109,Michael Hunter,59,HR,90796,04/06/2016,33,Poor,New York
E1110,Daniel Nelson,53,Operations,34095,07/07/2022,39,Good,Los Angeles
E1111,Robin Hunt,42,Marketing,107432,22/12/2015,39,Excellent,Houston
E1112,Mr. Christopher Morris,52,Sales,72642,19/07/2016,16,Excellent,Houston
E1113,Jonathan Mueller,46,HR,89880,21/11/2018,38,Excellent,Houston
E1114,Cole Thompson,35,Finance,55039,24/07/2019,28,Good,San Francisco
E1115,David Gonzalez,42,Finance,101687,18/05/2017,1,Excellent,New York
E1116,Willie White,41,Operations,118699,04/09/2023,7,Poor,San Francisco
E1117,Frank Phillips,27,Operations,50591,16/12/2015,14,Good,San Francisco
E1118,Michael Stewart,59,HR,111937,14/07/2022,36,Average,New York
E1119,Kristen Nash,25,Marketing,68343,02/12/2021,7,Good,Chicago
E1120,Kelly Johnson,50,Marketing,36221,30/11/2023,17,Average,San Francisco
E1121,Michael Bowen,44,Operations,88229,23/08/2023,28,Poor,Los Angeles
E1122,Patrick Mckenzie,44,IT,40304,03/08/2018,1,Excellent,Houston
E1123,Nancy Gordon,27,Operations,81214,10/12/2020,30,Poor,New York
E1124,Jessica Kramer,30,HR,115018,22/01/2025,27,Good,Chicago
E1125,Abigail Gross,44,Finance,106151,20/12/2024,32,Excellent,San Francisco
E1126,Rebecca Martinez,37,Operations,105356,23/03/2021,21,Poor,New York
E1127,Ashley Nixon,46,Sales,88276,06/05/2015,39,Excellent,Houston
E1128,Erin Ortega,55,HR,74210,11/05/2015,19,Poor,San Francisco
E1129,Jerry Frederick,50,HR,76672,30/03/2023,1,Average,Los Angeles
E1130,April Reese,54,Sales,92566,25/06/2016,12,Poor,New York
E1131,Diana Gutierrez,29,Marketing,77442,26/05/2016,11,Excellent,Houston
E1132,Theresa Miller,39,Sales,99775,07/07/2023,18,Poor,New York
E1133,Katherine Pearson,51,Sales,66635,20/11/2015,23,Poor,New York
E1134,Destiny Mcbride,27,Sales,115668,02/12/2019,26,Poor,Chicago
E1135,Sara Crosby,56,Operations,37609,31/12/2020,23,Poor,Houston
E1136,Valerie Gilbert,52,Marketing,68280,04/06/2022,14,Poor,Chicago
E1137,Meredith Johnson,22,Operations,44058,13/03/2020,10,Average,Los Angeles
E1138,Phillip Collins,60,HR,113714,13/01/2022,18,Average,Chicago
E1139,Amy Klein,51,Operations,99073,28/03/2016,32,Poor,Chicago
E1140,Christina Williams,50,Sales,50496,25/08/2019,34,Poor,Los Angeles
E1141,Steven Yu,33,Sales,117325,14/05/2019,24,Poor,Los Angeles
E1142,Shelly Austin,50,Marketing,119093,21/08/2020,16,Average,Houston
E1143,Chad Brown,51,HR,118607,13/11/2021,37,Average,New York
E1144,Douglas Clark,59,Marketing,69815,25/02/2018,35,Poor,New York
E1145,Brittany Tyler,51,HR,87185,25/11/2016,21,Poor,New York
E1146,Michael Khan,53,Operations,40954,19/05/2021,26,Poor,New York
E1147,Kyle Martin,43,HR,116461,11/11/2020,10,Average,New York
E1148,Zachary Cain,45,Finance,66934,15/06/2023,26,Average,Chicago
E1149,John Olson,33,Sales,79822,24/04/2024,2,Good,Chicago
E1150,Mary Atkinson,43,HR,109870,15/03/2021,19,Excellent,Chicago
E1151,Leon Bailey,35,Operations,39649,29/06/2017,39,Good,San Francisco
E1152,Shannon Brooks,31,Sales,60969,27/11/2021,2,Poor,Chicago
E1153,Justin Shaffer,28,IT,53533,27/06/2021,5,Good,Houston
E1154,Richard George,59,HR,103287,19/02/2025,32,Good,Houston
E1155,Joshua Stewart,38,IT,30322,06/01/2016,34,Poor,New York
E1156,Michael Singh,60,Sales,54220,12/05/2024,4,Good,Los Angeles
E1157,Miss Heather Vazquez,57,IT,31578,13/08/2020,20,Poor,New York
E1158,Ronnie Soto,50,HR,31054,12/05/2021,20,Excellent,Chicago
E1159,Derek Garrett,35,HR,115706,05/06/2018,13,Excellent,Los Angeles
E1160,Daniel Rodriguez,28,Sales,119413,30/10/2023,1,Average,San Francisco
E1161,Jason Bridges,33,Sales,69055,26/06/2022,21,Poor,Los Angeles
E1162,Rebecca Collins,59,HR,107912,12/11/2021,27,Average,Los Angeles
E1163,Daniel Montgomery,22,Finance,44723,05/08/2015,40,Average,San Francisco
E1164,Christina Rodriguez,51,Marketing,108005,11/12/2016,29,Good,San Francisco
E1165,Patricia Aguirre,39,Operations,36587,07/11/2024,20,Average,San Francisco
E1166,Mr. Matthew Hudson,42,IT,67491,07/01/2022,26,Excellent,New York
E1167,Samantha Robinson,29,Finance,59697,19/04/2016,2,Excellent,New York
E1168,Joe Ellis,57,Finance,31074,02/03/2024,30,Poor,Houston
E1169,Richard Solomon,24,Operations,80165,28/04/2016,7,Average,Chicago
E1170,Sharon Mason,53,Sales,57893,03/12/2021,34,Good,San Francisco
E1171,William Johnson,33,HR,31013,15/12/2017,3,Average,Los Angeles
E1172,Alexander Sanchez,46,Operations,52731,27/07/2023,7,Good,Houston
E1173,Timothy Pierce,29,Operations,57094,04/09/2017,20,Average,Los Angeles
E1174,Julie Davis,56,Finance,34541,04/08/2023,16,Average,Houston
E1175,Tamara Cox,51,Finance,79206,06/12/2018,1,Poor,San Francisco
E1176,Brittney Warren,22,IT,110714,08/05/2020,38,Excellent,Chicago
E1177,Terry Bonilla,30,Finance,92067,01/03/2025,39,Excellent,Los Angeles
E1178,Raymond Foley,30,Marketing,83322,17/03/2025,30,Average,Los Angeles
E1179,Jessica Tran,38,Operations,87694,26/08/2016,1,Excellent,Los Angeles
E1180,James Crosby,52,Finance,113729,07/09/2015,15,Average,New York
E1181,Clinton Brown,53,Operations,44619,23/06/2023,39,Average,Houston
E1182,John Huerta,30,Marketing,76053,02/06/2020,35,Good,New York
E1183,Miguel Smith,55,Sales,112252,12/03/2020,20,Poor,San Francisco
E1184,Patrick Barrett,51,Finance,70990,11/06/2022,13,Average,Houston
E1185,Steven Keller,29,Marketing,42868,30/11/2021,8,Poor,Chicago
E1186,Joshua Craig,49,Sales,97922,09/01/2021,6,Poor,Chicago
E1187,Cynthia Lee,47,HR,91110,02/12/2018,16,Excellent,Los Angeles
E1188,Timothy Ward,55,Finance,52478,06/04/2022,21,Excellent,Houston
E1189,Heather Smith,24,Sales,36449,17/06/2020,14,Poor,New York
E1190,Paul Hall,51,HR,42981,09/05/2019,10,Good,Houston
E1191,Felicia Schaefer,37,IT,30713,14/06/2021,10,Good,Houston
E1192,Joshua Lucas,44,IT,110321,20/06/2024,23,Average,Houston
E1193,Daniel Erickson,36,HR,106326,29/01/2023,12,Good,Chicago
E1194,Gerald Guzman,30,IT,38548,16/06/2024,31,Excellent,Houston
E1195,Thomas Brown,26,Sales,114469,05/02/2022,32,Average,Chicago
E1196,Rodney Mooney,51,IT,92155,14/01/2022,23,Poor,Los Angeles
E1197,Kathleen Adams,41,Sales,54254,05/05/2018,33,Excellent,New York
E1198,Christopher Gonzalez,48,Operations,38440,08/06/2023,16,Good,Houston
E1199,Stacie Mccarthy,52,IT,111940,23/01/2020,19,Excellent,Houston
E1200,Brian Rivers,51,IT,82036,15/03/2022,40,Average,San Francisco
E1201,Collin Perez,54,Operations,87996,21/12/2016,20,Excellent,Houston
E1202,Jose White,40,Finance,41854,05/07/2024,23,Average,New York
E1203,Cynthia Stone,59,Marketing,83496,26/12/2018,10,Good,Los Angeles
E1204,Susan Brooks,56,Sales,80767,04/03/2022,16,Average,New York
E1205,Russell Underwood,55,Sales,35781,07/02/2018,29,Average,New York
E1206,Joshua Berger,31,Finance,96201,12/01/2019,28,Average,Los Angeles
E1207,Dylan Reed,27,Marketing,103146,01/05/2022,2,Excellent,Los Angeles
E1208,Elizabeth Roberts,26,HR,44084,26/10/2016,23,Average,New York
E1209,Chad Anderson,45,Finance,56615,10/12/2020,18,Good,New York
E1210,Shawn Santos,39,IT,115362,07/04/2017,5,Good,Houston
E1211,Steven Martinez,42,Finance,82327,29/12/2018,26,Good,Chicago
E1212,Jerry Ferguson,55,HR,49498,19/01/2024,28,Good,San Francisco
E1213,David Alvarez,29,Sales,104192,31/03/2021,15,Poor,San Francisco
E1214,Christina Rodriguez,42,Finance,119195,24/09/2020,8,Excellent,Chicago
E1215,Ashley Russell,30,Finance,60290,24/02/2020,32,Excellent,San Francisco
E1216,Kathy Grant,46,Operations,84094,11/01/2021,11,Excellent,San Francisco
E1217,Lindsay Anderson,42,Finance,104665,10/02/2020,18,Excellent,San Francisco
E1218,Henry Harper,46,IT,100582,31/08/2024,20,Good,San Francisco
E1219,Brandon Campos,25,HR,78319,26/08/2022,35,Good,Los Angeles
E1220,Ronald Woods,49,Finance,48319,31/12/2015,19,Poor,Los Angeles
E1221,Kimberly Jackson,22,HR,116885,22/03/2020,21,Average,New York
E1222,Joyce Griffin,32,Operations,98229,16/03/2020,30,Poor,San Francisco
E1223,Brandon Perez,31,Marketing,102256,29/07/2023,8,Poor,San Francisco
E1224,Dylan Jefferson,41,IT,78128,19/10/2019,40,Poor,New York
E1225,Shannon Weber,29,IT,73380,18/09/2016,7,Good,San Francisco
E1226,Victoria Marsh,36,IT,109345,07/08/2015,1,Good,New York
E1227,Daniel Deleon,35,Marketing,41705,29/04/2017,16,Excellent,New York
E1228,Raymond Marshall,28,Operations,38398,20/03/2020,1,Good,Chicago
E1229,Christina Gonzalez,53,HR,67721,05/03/2022,4,Average,Houston
E1230,Dean Henderson,33,Marketing,72533,14/08/2021,30,Excellent,Houston
E1231,Jonathan Lang,31,IT,45065,21/05/2024,22,Good,Houston
E1232,Matthew Davis,42,IT,95125,07/04/2016,38,Excellent,San Francisco
E1233,Peggy Luna,37,Operations,37044,22/11/2017,29,Excellent,Houston
E1234,Robert George,54,Finance,59575,02/10/2017,19,Average,San Francisco
E1235,Brandon Stone,25,Operations,93475,24/10/2021,21,Average,Los Angeles
E1236,David Garner,24,Operations,40289,10/04/2018,30,Average,New York
E1237,Sherri Mclean,42,HR,43406,24/04/2024,27,Excellent,Houston
E1238,Sarah Cobb,32,HR,99451,30/10/2021,29,Poor,Chicago
E1239,Miguel Allen,49,Finance,113483,25/03/2023,22,Poor,Los Angeles
E1240,Juan Ayala,53,IT,102028,10/12/2023,10,Average,New York
E1241,James Peterson,51,Marketing,59775,02/07/2018,35,Good,New York
E1242,Mrs. Melissa Richardson DDS,35,Operations,30101,07/09/2024,21,Excellent,San Francisco
E1243,Stacy Lowe,50,Marketing,119730,08/09/2020,25,Poor,Los Angeles
E1244,Tiffany Frazier,56,HR,96713,22/12/2016,18,Excellent,New York
E1245,Jake Cox,24,Marketing,31211,11/07/2017,20,Poor,San Francisco
E1246,Tiffany Hooper,43,Sales,56450,25/04/2024,35,Poor,New York
E1247,Emily Prince,22,HR,44080,20/09/2015,14,Good,New York
E1248,Yolanda Johnson,49,IT,50759,30/07/2016,29,Good,Chicago
E1249,David Benton,48,Operations,92357,14/08/2021,27,Good,Houston
E1250,Jerry Smith,57,Sales,111887,20/08/2023,14,Poor,Los Angeles
E1251,Laura Stokes,52,Operations,83757,23/04/2015,20,Excellent,Los Angeles
E1252,Susan Scott,35,Sales,90236,03/03/2023,20,Excellent,Chicago
E1253,Karina Murray,45,Operations,81497,12/05/2016,21,Excellent,New York
E1254,Carol Guerra,41,IT,112368,03/10/2019,33,Excellent,Los Angeles
E1255,Tracy Davidson,40,Marketing,108134,07/06/2018,29,Good,Chicago
E1256,Felicia Ortega,40,Operations,111289,11/10/2023,32,Average,Houston
E1257,Allen Bennett,26,Sales,45700,19/05/2021,24,Good,Chicago
E1258,Nancy Edwards,51,IT,116286,10/07/2015,1,Good,Chicago
E1259,Derek Cooley,43,Marketing,96463,13/05/2017,36,Good,San Francisco
E1260,Adam Jordan,55,Operations,34990,27/03/2021,13,Average,San Francisco
E1261,Brandy Sexton,50,Marketing,95780,16/07/2016,4,Excellent,Houston
E1262,Jose Daniels,47,Finance,92026,21/04/2024,7,Excellent,Houston
E1263,Elizabeth Rush,26,HR,35922,06/05/2017,12,Excellent,San Francisco
E1264,Jeanette Thomas,37,IT,38391,03/05/2016,29,Excellent,Houston
E1265,Terry Palmer,35,Sales,39032,27/05/2020,3,Good,Houston
E1266,Jessica Cabrera,33,Sales,50815,15/04/2023,6,Poor,New York
E1267,Todd Garcia,24,HR,112036,16/02/2021,28,Excellent,New York
E1268,Heather Hill,56,Operations,90726,25/10/2024,8,Average,Los Angeles
E1269,Brittney Parks,28,HR,94365,25/10/2016,40,Average,Los Angeles
E1270,Lisa Maldonado,53,HR,51249,11/03/2020,22,Excellent,Houston
E1271,Lisa Douglas,46,HR,118734,16/11/2016,10,Average,Los Angeles
E1272,Jacqueline Garza,29,Marketing,108462,29/10/2024,28,Good,New York
E1273,William Freeman,28,Finance,62797,28/08/2015,16,Excellent,New York
E1274,Anthony James,44,Marketing,82962,29/10/2016,32,Poor,Chicago
E1275,Crystal Peterson,60,HR,93247,28/07/2019,9,Good,Chicago
E1276,Ronald Green,43,Sales,66503,25/05/2016,11,Poor,New York
E1277,Tony Woods,59,Marketing,100393,27/10/2022,25,Excellent,Chicago
E1278,Aaron Miller,43,Sales,37389,18/09/2015,11,Good,Houston
E1279,Brandon Davis,22,Marketing,59369,11/03/2023,38,Poor,San Francisco
E1280,Elizabeth Freeman,33,Finance,65871,08/10/2021,10,Average,Chicago
E1281,Janet Williams,24,Marketing,36358,01/12/2023,5,Excellent,Chicago
E1282,Stephanie Shah,28,HR,106397,30/05/2022,22,Good,Houston
E1283,Emily Parrish,43,IT,96101,10/05/2024,25,Average,New York
E1284,Sheri Lopez,24,Sales,118014,12/06/2015,5,Good,New York
E1285,Tyler Jones,52,Marketing,117163,03/10/2021,12,Excellent,Los Angeles
E1286,Bobby Holmes,51,Marketing,94668,25/07/2024,3,Good,New York
E1287,Holly Waller,46,IT,102199,10/04/2017,27,Poor,Houston
E1288,Sandra Mora,30,Marketing,117209,01/09/2021,18,Excellent,New York
E1289,Jessica Reynolds,60,Finance,107302,22/10/2022,40,Poor,Los Angeles
E1290,Jennifer Lam,24,Sales,72983,21/07/2018,29,Poor,San Francisco
E1291,Erin Clark,50,Sales,45569,31/08/2020,38,Poor,New York
E1292,Elizabeth Rosario,35,Finance,84868,02/01/2016,23,Excellent,San Francisco
E1293,Philip Shelton,25,HR,112506,28/07/2015,37,Poor,Chicago
E1294,Angela Morales,29,Finance,106928,20/01/2020,21,Excellent,San Francisco
E1295,Tammy Blankenship,46,Sales,113624,12/04/2019,25,Poor,Houston
E1296,Rebecca Perry,52,IT,91782,16/04/2017,19,Good,San Francisco
E1297,Devin Espinoza,37,IT,63152,14/10/2017,14,Good,Los Angeles
E1298,David Schneider,22,IT,51939,15/01/2025,9,Excellent,San Francisco
E1299,Charles Rodriguez,34,Finance,38994,17/02/2016,25,Average,San Francisco
E1300,Karla Walton,41,Finance,73826,30/03/2023,4,Excellent,San Francisco
E1301,James Lara,30,HR,67387,25/08/2019,39,Poor,Los Angeles
E1302,James Thompson,51,Finance,71756,04/12/2022,17,Average,Houston
E1303,Timothy Jenkins,31,Finance,62827,29/12/2018,15,Average,Chicago
E1304,Eric Woods,60,Marketing,58566,26/05/2017,6,Poor,Chicago
E1305,Elizabeth Jones,51,Marketing,67792,29/08/2021,34,Excellent,San Francisco
E1306,John Nelson,29,Marketing,88378,30/07/2019,8,Excellent,Houston
E1307,Joseph Leach,45,Sales,106697,02/04/2017,11,Poor,San Francisco
E1308,Juan Greer,36,Marketing,112702,03/04/2023,23,Poor,San Francisco
E1309,Ashley Ortiz,55,Operations,71394,21/10/2018,15,Good,Houston
E1310,Tracey Schroeder DVM,23,Finance,94822,24/09/2023,8,Poor,Los Angeles
E1311,Morgan Hernandez,37,Sales,85714,18/06/2015,28,Good,New York
E1312,Jason Smith,28,IT,71029,25/01/2022,24,Poor,New York
E1313,Jason Madden,43,Marketing,58262,27/01/2018,35,Excellent,Houston
E1314,Alexandria Whitney,47,Sales,47002,28/09/2017,11,Good,San Francisco
E1315,Austin Burke,56,Operations,110631,27/11/2022,30,Average,Los Angeles
E1316,Tonya Anderson,33,Marketing,86192,22/04/2016,38,Good,Chicago
E1317,David Herrera,57,HR,97230,14/06/2017,26,Average,Houston
E1318,Victoria Armstrong,55,Marketing,47769,26/09/2018,36,Good,San Francisco
E1319,Kelly Rodriguez,40,HR,107560,27/02/2017,27,Average,San Francisco
E1320,Sherri Browning,50,IT,31270,23/08/2023,26,Poor,Houston
E1321,Michael Chen,29,Operations,119279,12/01/2018,30,Excellent,New York
E1322,Kelly Holmes,57,Finance,105197,26/07/2019,8,Average,Houston
E1323,Tammy Austin MD,53,Operations,40760,22/04/2015,37,Poor,New York
E1324,Pamela Arnold,38,IT,87536,25/08/2019,40,Good,San Francisco
E1325,Jasmine Conway,59,Operations,94305,05/08/2021,12,Poor,Chicago
E1326,Sean Price,57,HR,59819,14/05/2015,12,Excellent,Chicago
E1327,Dr. David Sanders,34,Marketing,41760,31/10/2018,21,Average,San Francisco
E1328,Lisa Thomas,23,IT,71021,06/06/2021,18,Excellent,New York
E1329,David Evans,52,Finance,97663,12/11/2018,28,Average,New York
E1330,Stefanie Cochran,34,HR,69659,15/01/2024,9,Poor,San Francisco
E1331,Jaime Moore,26,Operations,58745,26/09/2017,23,Poor,New York
E1332,Samantha Howell,55,HR,116518,01/04/2024,24,Average,Los Angeles
E1333,Stephen Patterson,31,Finance,53340,06/07/2017,27,Good,New York
E1334,David King,59,IT,111901,25/04/2023,17,Excellent,New York
E1335,Elizabeth Fuentes,60,Sales,110259,03/06/2023,8,Good,New York
E1336,Kevin Anderson,40,HR,68860,05/11/2023,29,Average,New York
E1337,Ronald Fox,52,Operations,38852,02/04/2015,21,Poor,Houston
E1338,John Perez,35,Sales,81306,09/09/2015,32,Poor,New York
E1339,Courtney Bond,60,Operations,98111,28/09/2017,14,Poor,Houston
E1340,Daniel House,56,HR,32686,28/04/2023,15,Excellent,Houston
E1341,Denise Sanchez,26,Finance,67398,28/07/2017,26,Average,Chicago
E1342,Joshua Morris,47,HR,57400,25/03/2018,24,Poor,Chicago
E1343,Laura Harris,31,HR,116280,21/07/2022,10,Average,San Francisco
E1344,Emily Morris,33,Sales,116196,29/01/2024,31,Excellent,Houston
E1345,Stephanie Garcia,32,Finance,74059,01/12/2018,39,Good,San Francisco
E1346,Christopher Jones,42,Sales,79144,21/12/2019,21,Average,Chicago
E1347,Emily Kim,59,IT,38099,13/05/2019,2,Poor,Los Angeles
E1348,Monique Williams,38,Sales,93763,31/10/2020,3,Good,Los Angeles
E1349,Craig Smith,49,Marketing,100750,20/08/2016,29,Good,Chicago
E1350,Gary Robinson,54,HR,46677,27/10/2016,22,Poor,Chicago
E1351,Nicole Ramos,60,IT,46591,08/10/2015,22,Average,New York
E1352,Kathryn Griffin,47,Finance,119739,19/10/2017,22,Good,San Francisco
E1353,Jasmine Beard,53,Marketing,58095,23/11/2022,7,Excellent,Houston
E1354,David Powell,50,Operations,78627,19/12/2019,17,Average,New York
E1355,Keith Garcia,54,IT,90221,19/06/2018,5,Poor,Chicago
E1356,Jacqueline Brown,41,Operations,42740,19/03/2022,33,Excellent,New York
E1357,Sherry Campbell,44,Operations,68107,11/04/2021,14,Good,Houston
